Tabela,Característica,Universo,APOND,Código,Categoria,Contagem agregada,Percentual bruto (%),Percentual no domínio aplicável (%),Fora do domínio aplicável?,Denominador observado,Denominador no domínio aplicável,Regra do domínio aplicável
E01,Circulação da via,Domicílios,3509007001,V05001,"Caminhão, ônibus",4029.0,83.90254060807997,84.16544808857321,NÃO,4802.0,4787.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3509007001,V05002,Carros de passeio ou van,586.0,12.203248646397334,12.241487361604344,NÃO,4802.0,4787.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3509007001,V05003,"Pedestres, bicicletas e motocicletas",172.0,3.5818408996251563,3.5930645498224356,NÃO,4802.0,4787.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3509007001,V05004,Aquavia,0.0,0.0,0.0,NÃO,4802.0,4787.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3509007001,V05005,Saltado,15.0,0.3123698458975427,,SIM,4802.0,4787.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509007001,V05201,"Caminhão, ônibus",11778.0,84.11054773977004,84.37567160971416,NÃO,14003.0,13959.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509007001,V05202,Carros de passeio ou van,1677.0,11.976005141755339,12.013754566946057,NÃO,14003.0,13959.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509007001,V05203,"Pedestres, bicicletas e motocicletas",504.0,3.599228736699279,3.610573823339781,NÃO,14003.0,13959.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509007001,V05204,Aquavia,0.0,0.0,0.0,NÃO,14003.0,13959.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509007001,V05205,Saltado,44.0,0.3142183817753339,,SIM,14003.0,13959.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3509007001,V05401,"Caminhão, ônibus",721.0,85.12396694214877,87.71289537712896,NÃO,847.0,822.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
