CD_SETOR,APOND
350900705000001,3509007004
350900705000002,3509007004
350900705000003,3509007004
350900705000004,3509007004
350900705000007,3509007004
350900705000008,3509007004
350900705000013,3509007004
350900705000014,3509007004
350900705000019,3509007002
350900705000022,3509007005
350900705000023,3509007005
350900705000024,3509007005
350900705000028,3509007005
350900705000032,3509007005
350900705000033,3509007005
350900705000034,3509007005
350900705000035,3509007005
350900705000037,3509007004
350900705000038,3509007004
350900705000039,3509007004
350900705000040,3509007004
350900705000041,3509007003
350900705000043,3509007003
350900705000045,3509007003
350900705000046,3509007003
350900705000051,3509007003
350900705000055,3509007006
350900705000057,3509007006
350900705000059,3509007006
350900705000060,3509007006
350900705000061,3509007006
350900705000062,3509007006
350900705000064,3509007001
350900705000066,3509007003
350900705000068,3509007001
350900705000070,3509007006
350900705000071,3509007006
350900705000072,3509007002
350900705000073,3509007002
350900705000074,3509007002
350900705000075,3509007001
350900705000077,3509007005
350900705000079,3509007001
350900705000080,3509007001
350900705000081,3509007007
350900705000083,3509007002
350900705000085,3509007004
350900705000088,3509007001
350900705000089,3509007001
350900705000090,3509007003
350900705000091,3509007003
350900705000092,3509007003
350900705000093,3509007002
350900705000096,3509007002
350900705000097,3509007003
350900705000099,3509007006
350900705000100,3509007006
350900705000101,3509007006
350900705000104,3509007005
350900705000109,3509007005
350900705000110,3509007006
350900705000112,3509007001
350900705000113,3509007001
350900705000114,3509007002
350900705000115,3509007002
350900705000116,3509007003
350900705000117,3509007001
350900705000122,3509007007
350900705000123,3509007007
350900705000124,3509007007
350900705000125,3509007007
350900705000126,3509007001
350900705000127,3509007001
350900705000129,3509007001
350900705000130,3509007003
350900705000131,3509007001
350900705000132,3509007005
350900705000133,3509007001
350900705000134,3509007001
350900705000135,3509007003
350900705000138,3509007002
350900705000140,3509007005
350900705000141,3509007001
350900705000142,3509007006
350900705000143,3509007006
350900705000144,3509007006
350900705000145,3509007006
350900705000146,3509007006
350900705000147,3509007006
350900705000148,3509007005
350900705000149,3509007005
350900705000150,3509007005
350900705000151,3509007005
350900705000152,3509007005
350900705000153,3509007005
350900705000154,3509007003
350900705000155,3509007003
350900705000156,3509007005
350900705000157,3509007005
350900705000158,3509007004
350900705000160,3509007004
350900705000161,3509007004
350900705000162,3509007004
350900705000163,3509007005
350900705000164,3509007004
350900705000165,3509007004
350900705000166,3509007005
350900705000167,3509007005
350900705000168,3509007005
350900705000169,3509007005
350900705000170,3509007002
350900705000171,3509007002
350900705000172,3509007005
350900705000173,3509007005
350900705000174,3509007005
350900705000175,3509007005
350900705000176,3509007006
350900705000177,3509007006
350900705000178,3509007003
350900705000179,3509007003
350900705000180,3509007003
350900705000181,3509007003
350900705000182,3509007005
350900705000183,3509007005
350900705000184,3509007005
350900705000185,3509007005
350900705000186,3509007005
350900705000187,3509007006
350900705000188,3509007006
350900705000189,3509007001
350900705000191,3509007001
350900705000192,3509007003
350900705000193,3509007003
350900705000194,3509007003
350900705000195,3509007003
350900705000196,3509007003
350900705000197,3509007001
350900705000198,3509007001
350900705000199,3509007001
350900705000200,3509007001
350900705000201,3509007004
350900705000202,3509007004
350900705000203,3509007001
350900705000204,3509007001
350900705000205,3509007001
350900705000206,3509007006
350900705000207,3509007006
350900705000208,3509007001
350900705000209,3509007001
350900705000210,3509007006
350900705000212,3509007005
350900705000213,3509007005
350900705000214,3509007002
350900705000215,3509007002
350900705000216,3509007002
350900705000217,3509007002
350900705000218,3509007002
350900705000219,3509007002
350900705000220,3509007002
350900705000221,3509007002
350900705000222,3509007002
350900705000223,3509007002
350900705000224,3509007002
350900705000225,3509007002
350900705000226,3509007003
350900705000227,3509007001
350900705000228,3509007001
350900705000229,3509007001
350900705000231,3509007002
350900705000232,3509007004
350900705000233,3509007003
350900705000234,3509007003
350900705000235,3509007003
350900705000236,3509007003
350900705000238,3509007005
350900705000239,3509007007
350900705000240,3509007007
350900705000241,3509007001
350900705000242,3509007001
350900705000243,3509007001
350900705000244,3509007007
350900705000246,3509007007
350900705000247,3509007001
350900705000248,3509007001
350900705000249,3509007004
350900705000250,3509007004
350900705000251,3509007001
350900705000252,3509007001
350900705000253,3509007006
350900705000254,3509007006
350900705000255,3509007001
350900705000257,3509007001
350900705000258,3509007001
350900705000259,3509007004
350900705000260,3509007004
350900705000261,3509007004
350900705000263,3509007007
350900705000264,3509007003
350900705000265,3509007003
350900705000266,3509007001
350900705000267,3509007001
350900705000268,3509007001
350900705000269,3509007001
350900705000270,3509007001
350900705000271,3509007001
350900705000272,3509007007
350900705000273,3509007004
