APOND,V05000,V05001,V05002,V05003,V05004,V05005,V05006,V05007,V05008,V05009,V05010,V05011,V05012,V05013,V05014,V05015,V05016,V05017,V05018,V05019,V05020,V05021,V05022,V05023,V05024,V05025,V05026,V05027,V05028,V05029,V05030,V05031,V05032,V05033,V05034,V05200,V05201,V05202,V05203,V05204,V05205,V05206,V05207,V05208,V05209,V05210,V05211,V05212,V05213,V05214,V05215,V05216,V05217,V05218,V05219,V05220,V05221,V05222,V05223,V05224,V05225,V05226,V05227,V05228,V05229,V05230,V05231,V05232,V05233,V05234,V05400,V05401,V05402,V05403,V05404,V05405,V05406,V05407,V05408,V05409,V05410,V05411,V05412,V05413,V05414,V05415,V05416,V05417,V05418,V05419,V05420,V05421,V05422,V05423,V05424,V05425,V05426,V05427,V05428,V05429,V05430,V05431,V05432,V05433,V05434
3509502002,7818.0,6995.0,769.0,16.0,0.0,38.0,6888.0,892.0,38.0,5150.0,2630.0,38.0,7512.0,268.0,38.0,817.0,6963.0,38.0,318.0,7462.0,38.0,6543.0,1237.0,38.0,4974.0,1569.0,1275.0,239.0,6304.0,1275.0,486.0,973.0,1091.0,5230.0,38.0,21517.0,19376.0,2000.0,42.0,0.0,99.0,18987.0,2431.0,99.0,14242.0,7176.0,99.0,20733.0,685.0,99.0,2371.0,19047.0,99.0,859.0,20559.0,99.0,17943.0,3475.0,99.0,13680.0,4263.0,3574.0,700.0,17243.0,3574.0,1327.0,2742.0,3062.0,14287.0,99.0,2091.0,1750.0,302.0,11.0,0.0,28.0,1545.0,518.0,28.0,1123.0,940.0,28.0,1910.0,153.0,28.0,145.0,1918.0,28.0,59.0,2004.0,28.0,1442.0,621.0,28.0,810.0,632.0,649.0,102.0,1340.0,649.0,237.0,320.0,291.0,1215.0,28.0
3509502003,16322.0,14806.0,1448.0,52.0,0.0,16.0,14367.0,1939.0,16.0,9079.0,7227.0,16.0,16144.0,162.0,16.0,1733.0,14573.0,16.0,330.0,15976.0,16.0,14637.0,1669.0,16.0,9889.0,4748.0,1685.0,660.0,13977.0,1685.0,936.0,1690.0,1549.0,12131.0,16.0,42877.0,38743.0,3932.0,151.0,0.0,51.0,37428.0,5398.0,51.0,23566.0,19260.0,51.0,42411.0,415.0,51.0,4381.0,38445.0,51.0,810.0,42016.0,51.0,38122.0,4704.0,51.0,25988.0,12134.0,4755.0,1759.0,36363.0,4755.0,2538.0,4397.0,3933.0,31958.0,51.0,3647.0,3299.0,307.0,28.0,0.0,13.0,3130.0,504.0,13.0,1762.0,1872.0,13.0,3538.0,96.0,13.0,418.0,3216.0,13.0,182.0,3452.0,13.0,3030.0,604.0,13.0,1778.0,1252.0,617.0,333.0,2697.0,617.0,495.0,497.0,429.0,2213.0,13.0
3509502004,14102.0,13973.0,78.0,51.0,0.0,0.0,14100.0,2.0,0.0,9255.0,4847.0,0.0,14053.0,49.0,0.0,2453.0,11649.0,0.0,8.0,14094.0,0.0,14048.0,54.0,0.0,4203.0,9845.0,54.0,1885.0,12163.0,54.0,1613.0,2074.0,2246.0,8169.0,0.0,33644.0,33302.0,202.0,140.0,0.0,0.0,33639.0,5.0,0.0,22305.0,11339.0,0.0,33513.0,131.0,0.0,5753.0,27891.0,0.0,20.0,33624.0,0.0,33493.0,151.0,0.0,10163.0,23330.0,151.0,4125.0,29368.0,151.0,3695.0,4961.0,5330.0,19658.0,0.0,2083.0,2028.0,21.0,33.0,0.0,1.0,2078.0,4.0,1.0,1175.0,907.0,1.0,2018.0,64.0,1.0,292.0,1790.0,1.0,2.0,2080.0,1.0,1919.0,163.0,1.0,460.0,1459.0,164.0,242.0,1677.0,164.0,444.0,456.0,326.0,856.0,1.0
3509502005,10317.0,9847.0,447.0,19.0,0.0,4.0,10157.0,156.0,4.0,6542.0,3771.0,4.0,9777.0,536.0,4.0,1950.0,8363.0,4.0,146.0,10167.0,4.0,9643.0,670.0,4.0,5188.0,4455.0,674.0,1096.0,8547.0,674.0,1902.0,2066.0,1495.0,4850.0,4.0,27751.0,26291.0,1393.0,54.0,0.0,13.0,27239.0,499.0,13.0,17219.0,10519.0,13.0,26159.0,1579.0,13.0,4953.0,22785.0,13.0,336.0,27402.0,13.0,25677.0,2061.0,13.0,14415.0,11262.0,2074.0,2489.0,23188.0,2074.0,5506.0,5665.0,3928.0,12639.0,13.0,1465.0,1343.0,102.0,15.0,0.0,5.0,1413.0,47.0,5.0,847.0,613.0,5.0,1365.0,95.0,5.0,170.0,1290.0,5.0,33.0,1427.0,5.0,1232.0,228.0,5.0,681.0,551.0,233.0,54.0,1178.0,233.0,455.0,368.0,192.0,445.0,5.0
3509502006,13078.0,13000.0,69.0,9.0,0.0,0.0,13071.0,7.0,0.0,9891.0,3187.0,0.0,13067.0,11.0,0.0,3485.0,9593.0,0.0,286.0,12792.0,0.0,12998.0,80.0,0.0,4586.0,8412.0,80.0,2053.0,10945.0,80.0,2214.0,2419.0,2251.0,6194.0,0.0,31436.0,31237.0,176.0,23.0,0.0,0.0,31414.0,22.0,0.0,23967.0,7469.0,0.0,31410.0,26.0,0.0,8189.0,23247.0,0.0,601.0,30835.0,0.0,31224.0,212.0,0.0,11373.0,19851.0,212.0,4632.0,26592.0,212.0,5227.0,5701.0,5287.0,15221.0,0.0,1456.0,1431.0,16.0,8.0,0.0,1.0,1448.0,7.0,1.0,964.0,491.0,1.0,1443.0,12.0,1.0,253.0,1202.0,1.0,14.0,1441.0,1.0,1385.0,70.0,1.0,467.0,918.0,71.0,192.0,1193.0,71.0,393.0,326.0,225.0,511.0,1.0
3509502007,10657.0,8447.0,2210.0,0.0,0.0,0.0,10656.0,1.0,0.0,8740.0,1917.0,0.0,10650.0,7.0,0.0,2889.0,7768.0,0.0,128.0,10529.0,0.0,10644.0,13.0,0.0,3225.0,7419.0,13.0,3181.0,7463.0,13.0,924.0,1330.0,704.0,7699.0,0.0,25057.0,19442.0,5615.0,0.0,0.0,0.0,25055.0,2.0,0.0,20502.0,4555.0,0.0,25042.0,15.0,0.0,6310.0,18747.0,0.0,258.0,24799.0,0.0,25019.0,38.0,0.0,8251.0,16768.0,38.0,6934.0,18085.0,38.0,2230.0,3033.0,1730.0,18064.0,0.0,644.0,472.0,169.0,3.0,0.0,0.0,640.0,4.0,0.0,460.0,184.0,0.0,635.0,9.0,0.0,97.0,547.0,0.0,8.0,636.0,0.0,627.0,17.0,0.0,265.0,362.0,17.0,74.0,553.0,17.0,88.0,94.0,62.0,400.0,0.0
3509502008,10294.0,9421.0,868.0,5.0,0.0,0.0,10294.0,0.0,0.0,6822.0,3472.0,0.0,10263.0,31.0,0.0,1908.0,8386.0,0.0,149.0,10145.0,0.0,10281.0,13.0,0.0,3944.0,6337.0,13.0,1056.0,9225.0,13.0,784.0,1218.0,1438.0,6854.0,0.0,25660.0,23397.0,2249.0,14.0,0.0,0.0,25660.0,0.0,0.0,17510.0,8150.0,0.0,25577.0,83.0,0.0,4673.0,20987.0,0.0,349.0,25311.0,0.0,25621.0,39.0,0.0,10441.0,15180.0,39.0,2387.0,23234.0,39.0,1960.0,2965.0,3561.0,17174.0,0.0,1555.0,1438.0,113.0,4.0,0.0,0.0,1554.0,1.0,0.0,967.0,588.0,0.0,1547.0,8.0,0.0,260.0,1295.0,0.0,33.0,1522.0,0.0,1522.0,33.0,0.0,489.0,1033.0,33.0,168.0,1354.0,33.0,276.0,333.0,282.0,664.0,0.0
3509502009,21819.0,20390.0,1218.0,39.0,0.0,172.0,20046.0,1601.0,172.0,16994.0,4653.0,172.0,21003.0,644.0,172.0,4573.0,17074.0,172.0,2808.0,18839.0,172.0,18767.0,2880.0,172.0,6425.0,12342.0,3052.0,3710.0,15057.0,3052.0,2317.0,4621.0,2491.0,12218.0,172.0,58382.0,54119.0,3629.0,120.0,0.0,514.0,53117.0,4751.0,514.0,44820.0,13048.0,514.0,56087.0,1781.0,514.0,11663.0,46205.0,514.0,7348.0,50520.0,514.0,49249.0,8619.0,514.0,17420.0,31829.0,9133.0,9983.0,39266.0,9133.0,6407.0,12460.0,6785.0,32216.0,514.0,4043.0,3736.0,181.0,32.0,0.0,94.0,3501.0,448.0,94.0,2807.0,1142.0,94.0,3859.0,90.0,94.0,641.0,3308.0,94.0,487.0,3462.0,94.0,2942.0,1007.0,94.0,959.0,1983.0,1101.0,588.0,2354.0,1101.0,558.0,988.0,572.0,1831.0,94.0
3509502010,14696.0,14216.0,480.0,0.0,0.0,0.0,14696.0,0.0,0.0,8002.0,6694.0,0.0,14696.0,0.0,0.0,1533.0,13163.0,0.0,2.0,14694.0,0.0,14693.0,3.0,0.0,2662.0,12031.0,3.0,10312.0,4381.0,3.0,2269.0,1567.0,2560.0,8300.0,0.0,27913.0,27093.0,820.0,0.0,0.0,0.0,27913.0,0.0,0.0,15189.0,12724.0,0.0,27913.0,0.0,0.0,2913.0,25000.0,0.0,4.0,27909.0,0.0,27902.0,11.0,0.0,5176.0,22726.0,11.0,19312.0,8590.0,11.0,4044.0,2880.0,4824.0,16165.0,0.0,990.0,969.0,21.0,0.0,0.0,0.0,990.0,0.0,0.0,522.0,468.0,0.0,990.0,0.0,0.0,105.0,885.0,0.0,15.0,975.0,0.0,961.0,29.0,0.0,187.0,774.0,29.0,554.0,407.0,29.0,227.0,188.0,184.0,391.0,0.0
3509502011,16165.0,15930.0,154.0,81.0,0.0,0.0,16165.0,0.0,0.0,11511.0,4654.0,0.0,16165.0,0.0,0.0,2371.0,13794.0,0.0,242.0,15923.0,0.0,16099.0,66.0,0.0,3597.0,12502.0,66.0,12968.0,3131.0,66.0,8478.0,1512.0,2240.0,3935.0,0.0,28395.0,27935.0,312.0,148.0,0.0,0.0,28395.0,0.0,0.0,20322.0,8073.0,0.0,28395.0,0.0,0.0,3788.0,24607.0,0.0,377.0,28018.0,0.0,28291.0,104.0,0.0,6426.0,21865.0,104.0,22670.0,5621.0,104.0,15033.0,2469.0,3866.0,7027.0,0.0,1226.0,1163.0,31.0,27.0,0.0,5.0,1219.0,2.0,5.0,867.0,354.0,5.0,1217.0,4.0,5.0,222.0,999.0,5.0,9.0,1212.0,5.0,1199.0,22.0,5.0,287.0,912.0,27.0,948.0,251.0,27.0,646.0,174.0,124.0,277.0,5.0
