CD_SETOR,APOND
350950205000001,3509502011
350950205000003,3509502011
350950205000005,3509502011
350950205000006,3509502011
350950205000007,3509502011
350950205000008,3509502011
350950205000010,3509502011
350950205000012,3509502011
350950205000013,3509502011
350950205000014,3509502011
350950205000015,3509502011
350950205000017,3509502011
350950205000019,3509502011
350950205000020,3509502011
350950205000021,3509502011
350950205000023,3509502011
350950205000024,3509502011
350950205000025,3509502011
350950205000027,3509502006
350950205000028,3509502006
350950205000029,3509502006
350950205000030,3509502011
350950205000032,3509502011
350950205000033,3509502011
350950205000034,3509502011
350950205000035,3509502011
350950205000038,3509502011
350950205000040,3509502035
350950205000042,3509502035
350950205000043,3509502035
350950205000045,3509502006
350950205000048,3509502011
350950205000049,3509502011
350950205000050,3509502011
350950205000051,3509502011
350950205000052,3509502011
350950205000053,3509502011
350950205000054,3509502011
350950205000055,3509502011
350950205000056,3509502011
350950205000058,3509502011
350950205000059,3509502011
350950205000060,3509502011
350950205000063,3509502010
350950205000064,3509502010
350950205000065,3509502010
350950205000067,3509502010
350950205000068,3509502010
350950205000069,3509502010
350950205000070,3509502035
350950205000072,3509502035
350950205000074,3509502012
350950205000075,3509502012
350950205000076,3509502012
350950205000079,3509502006
350950205000080,3509502006
350950205000081,3509502006
350950205000082,3509502004
350950205000084,3509502004
350950205000085,3509502011
350950205000086,3509502011
350950205000087,3509502011
350950205000088,3509502011
350950205000089,3509502011
350950205000090,3509502011
350950205000091,3509502011
350950205000092,3509502011
350950205000093,3509502011
350950205000094,3509502011
350950205000095,3509502011
350950205000096,3509502011
350950205000099,3509502010
350950205000101,3509502010
350950205000102,3509502010
350950205000103,3509502010
350950205000104,3509502010
350950205000105,3509502010
350950205000106,3509502010
350950205000107,3509502010
350950205000108,3509502035
350950205000110,3509502012
350950205000111,3509502012
350950205000112,3509502012
350950205000113,3509502012
350950205000115,3509502018
350950205000116,3509502018
350950205000121,3509502006
350950205000122,3509502006
350950205000123,3509502004
350950205000124,3509502004
350950205000125,3509502004
350950205000126,3509502004
350950205000129,3509502011
350950205000135,3509502010
350950205000136,3509502010
350950205000137,3509502010
350950205000138,3509502010
350950205000139,3509502010
350950205000142,3509502010
350950205000143,3509502010
350950205000144,3509502010
350950205000145,3509502010
350950205000146,3509502010
350950205000147,3509502010
350950205000149,3509502010
350950205000151,3509502035
350950205000152,3509502035
350950205000153,3509502035
350950205000154,3509502012
350950205000155,3509502012
350950205000156,3509502012
350950205000157,3509502012
350950205000158,3509502012
350950205000159,3509502012
350950205000160,3509502020
350950205000161,3509502018
350950205000162,3509502018
350950205000163,3509502018
350950205000164,3509502018
350950205000166,3509502006
350950205000167,3509502006
350950205000168,3509502006
350950205000169,3509502006
350950205000170,3509502006
350950205000171,3509502006
350950205000172,3509502004
350950205000173,3509502004
350950205000174,3509502004
350950205000175,3509502004
350950205000177,3509502004
350950205000178,3509502004
350950205000179,3509502004
350950205000180,3509502004
350950205000181,3509502004
350950205000184,3509502011
350950205000187,3509502010
350950205000189,3509502010
350950205000190,3509502010
350950205000191,3509502009
350950205000192,3509502009
350950205000193,3509502009
350950205000194,3509502035
350950205000195,3509502035
350950205000196,3509502035
350950205000197,3509502035
350950205000198,3509502035
350950205000199,3509502035
350950205000201,3509502035
350950205000202,3509502035
350950205000203,3509502035
350950205000204,3509502035
350950205000205,3509502035
350950205000207,3509502012
350950205000208,3509502012
350950205000209,3509502012
350950205000210,3509502012
350950205000211,3509502020
350950205000212,3509502020
350950205000213,3509502018
350950205000214,3509502018
350950205000216,3509502018
350950205000219,3509502018
350950205000220,3509502018
350950205000224,3509502006
350950205000225,3509502006
350950205000226,3509502006
350950205000228,3509502006
350950205000230,3509502006
350950205000231,3509502004
350950205000232,3509502004
350950205000233,3509502004
350950205000235,3509502004
350950205000236,3509502034
350950205000237,3509502004
350950205000239,3509502010
350950205000242,3509502010
350950205000243,3509502010
350950205000246,3509502010
350950205000247,3509502009
350950205000248,3509502009
350950205000249,3509502009
350950205000250,3509502009
350950205000251,3509502035
350950205000252,3509502035
350950205000253,3509502035
350950205000255,3509502035
350950205000256,3509502035
350950205000257,3509502035
350950205000259,3509502012
350950205000260,3509502012
350950205000261,3509502012
350950205000262,3509502012
350950205000264,3509502020
350950205000265,3509502020
350950205000267,3509502017
350950205000268,3509502017
350950205000269,3509502017
350950205000270,3509502018
350950205000271,3509502018
350950205000273,3509502018
350950205000274,3509502018
350950205000275,3509502018
350950205000276,3509502018
350950205000277,3509502006
350950205000279,3509502006
350950205000280,3509502006
350950205000283,3509502006
350950205000284,3509502006
350950205000285,3509502006
350950205000289,3509502004
350950205000290,3509502034
350950205000291,3509502034
350950205000293,3509502004
350950205000294,3509502004
350950205000295,3509502008
350950205000296,3509502008
350950205000297,3509502004
350950205000298,3509502010
350950205000299,3509502010
350950205000302,3509502010
350950205000303,3509502010
350950205000305,3509502010
350950205000308,3509502009
350950205000309,3509502009
350950205000310,3509502009
350950205000313,3509502035
350950205000316,3509502035
350950205000317,3509502035
350950205000318,3509502019
350950205000319,3509502035
350950205000320,3509502035
350950205000321,3509502035
350950205000322,3509502019
350950205000324,3509502021
350950205000325,3509502021
350950205000326,3509502021
350950205000327,3509502012
350950205000328,3509502012
350950205000329,3509502012
350950205000330,3509502012
350950205000331,3509502012
350950205000332,3509502020
350950205000333,3509502020
350950205000334,3509502020
350950205000335,3509502020
350950205000339,3509502022
350950205000340,3509502022
350950205000341,3509502022
350950205000342,3509502022
350950205000343,3509502022
350950205000344,3509502022
350950205000345,3509502022
350950205000346,3509502022
350950205000347,3509502022
350950205000348,3509502022
350950205000349,3509502022
350950205000350,3509502022
350950205000351,3509502022
350950205000352,3509502022
350950205000353,3509502022
350950205000355,3509502017
350950205000356,3509502017
350950205000358,3509502017
350950205000359,3509502017
350950205000360,3509502017
350950205000361,3509502017
350950205000362,3509502017
350950205000363,3509502017
350950205000364,3509502018
350950205000365,3509502013
350950205000367,3509502006
350950205000368,3509502006
350950205000369,3509502006
350950205000370,3509502006
350950205000371,3509502006
350950205000372,3509502006
350950205000373,3509502004
350950205000374,3509502004
350950205000376,3509502004
350950205000378,3509502004
350950205000379,3509502004
350950205000380,3509502034
350950205000381,3509502034
350950205000387,3509502009
350950205000388,3509502009
350950205000389,3509502009
350950205000390,3509502035
350950205000392,3509502019
350950205000393,3509502019
350950205000394,3509502035
350950205000395,3509502019
350950205000397,3509502019
350950205000398,3509502019
350950205000399,3509502019
350950205000401,3509502019
350950205000402,3509502021
350950205000403,3509502021
350950205000404,3509502021
350950205000405,3509502012
350950205000407,3509502012
350950205000408,3509502012
350950205000409,3509502012
350950205000413,3509502020
350950205000414,3509502020
350950205000415,3509502020
350950205000417,3509502017
350950205000418,3509502017
350950205000419,3509502017
350950205000421,3509502017
350950205000422,3509502013
350950205000423,3509502013
350950205000424,3509502013
350950205000425,3509502013
350950205000426,3509502013
350950205000427,3509502013
350950205000428,3509502013
350950205000429,3509502013
350950205000430,3509502013
350950205000432,3509502013
350950205000433,3509502013
350950205000435,3509502006
350950205000436,3509502006
350950205000437,3509502006
350950205000438,3509502006
350950205000439,3509502006
350950205000440,3509502006
350950205000441,3509502006
350950205000442,3509502006
350950205000444,3509502004
350950205000446,3509502004
350950205000447,3509502004
350950205000449,3509502034
350950205000450,3509502008
350950205000451,3509502008
