Tabela,Característica,Universo,APOND,Código,Categoria,Contagem agregada,Percentual bruto (%),Percentual no domínio aplicável (%),Fora do domínio aplicável?,Denominador observado,Denominador no domínio aplicável,Regra do domínio aplicável
E01,Circulação da via,Domicílios,3509601001,V05001,"Caminhão, ônibus",3583.0,95.62316519882573,96.36901559978483,NÃO,3747.0,3718.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3509601001,V05002,Carros de passeio ou van,128.0,3.416066186282359,3.442711135018827,NÃO,3747.0,3718.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3509601001,V05003,"Pedestres, bicicletas e motocicletas",7.0,0.1868161195623165,0.18827326519634213,NÃO,3747.0,3718.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3509601001,V05004,Aquavia,0.0,0.0,0.0,NÃO,3747.0,3718.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3509601001,V05005,Saltado,29.0,0.773952495329597,,SIM,3747.0,3718.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509601001,V05201,"Caminhão, ônibus",10146.0,95.75311438278595,96.4999048887198,NÃO,10596.0,10514.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509601001,V05202,Carros de passeio ou van,347.0,3.2748206870517174,3.3003614228647518,NÃO,10596.0,10514.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509601001,V05203,"Pedestres, bicicletas e motocicletas",21.0,0.19818799546998866,0.1997336884154461,NÃO,10596.0,10514.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509601001,V05204,Aquavia,0.0,0.0,0.0,NÃO,10596.0,10514.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3509601001,V05205,Saltado,82.0,0.7738769346923368,,SIM,10596.0,10514.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3509601001,V05401,"Caminhão, ônibus",412.0,87.10359408033827,93.63636363636364,NÃO,473.0,440.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3509601001,V05402,Carros de passeio ou van,15.0,3.171247357293869,3.4090909090909087,NÃO,473.0,440.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3509601001,V05403,"Pedestres, bicicletas e motocicletas",13.0,2.748414376321353,2.9545454545454546,NÃO,473.0,440.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3509601001,V05404,Aquavia,0.0,0.0,0.0,NÃO,473.0,440.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3509601001,V05405,Saltado,33.0,6.976744186046512,,SIM,473.0,440.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E02,Pavimentação,Domicílios,3509601001,V05006,Sim,3641.0,97.17107018948492,97.92899408284023,NÃO,3747.0,3718.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Domicílios,3509601001,V05007,Não,77.0,2.0549773151854818,2.0710059171597637,NÃO,3747.0,3718.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Domicílios,3509601001,V05008,Não declarado,29.0,0.773952495329597,,SIM,3747.0,3718.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3509601001,V05206,Sim,10298.0,97.18761796904492,97.94559634772683,NÃO,10596.0,10514.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3509601001,V05207,Não,216.0,2.0385050962627407,2.0544036522731597,NÃO,10596.0,10514.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3509601001,V05208,Não declarado,82.0,0.7738769346923368,,SIM,10596.0,10514.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Faces,3509601001,V05406,Sim,381.0,80.54968287526427,86.5909090909091,NÃO,473.0,440.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Faces,3509601001,V05407,Não,59.0,12.473572938689218,13.40909090909091,NÃO,473.0,440.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Faces,3509601001,V05408,Não declarado,33.0,6.976744186046512,,SIM,473.0,440.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Domicílios,3509601001,V05009,Sim,2573.0,68.66826794769149,69.2038730500269,NÃO,3747.0,3718.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Domicílios,3509601001,V05010,Não,1145.0,30.557779556978915,30.7961269499731,NÃO,3747.0,3718.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Domicílios,3509601001,V05011,Não declarado,29.0,0.773952495329597,,SIM,3747.0,3718.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Moradores,3509601001,V05209,Sim,7388.0,69.72442431106077,70.26821381015789,NÃO,10596.0,10514.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Moradores,3509601001,V05210,Não,3126.0,29.501698754246885,29.73178618984211,NÃO,10596.0,10514.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Moradores,3509601001,V05211,Não declarado,82.0,0.7738769346923368,,SIM,10596.0,10514.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Faces,3509601001,V05409,Sim,251.0,53.06553911205074,57.04545454545455,NÃO,473.0,440.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Faces,3509601001,V05410,Não,189.0,39.95771670190275,42.95454545454545,NÃO,473.0,440.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Faces,3509601001,V05411,Não declarado,33.0,6.976744186046512,,SIM,473.0,440.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Domicílios,3509601001,V05012,Sim,3658.0,97.62476647985055,98.38622915545993,NÃO,3747.0,3718.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
