Tabela,Característica,Universo,APOND,Código,Categoria,Contagem agregada,Percentual bruto (%),Percentual no domínio aplicável (%),Fora do domínio aplicável?,Denominador observado,Denominador no domínio aplicável,Regra do domínio aplicável
E01,Circulação da via,Domicílios,3516309001,V05001,"Caminhão, ônibus",4300.0,88.42278428953321,88.42278428953321,NÃO,4863.0,4863.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516309001,V05002,Carros de passeio ou van,378.0,7.772979642196175,7.772979642196175,NÃO,4863.0,4863.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516309001,V05003,"Pedestres, bicicletas e motocicletas",185.0,3.8042360682706144,3.8042360682706144,NÃO,4863.0,4863.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516309001,V05004,Aquavia,0.0,0.0,0.0,NÃO,4863.0,4863.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516309001,V05005,Saltado,0.0,0.0,,SIM,4863.0,4863.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516309001,V05201,"Caminhão, ônibus",11880.0,87.71411695215593,87.71411695215593,NÃO,13544.0,13544.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516309001,V05202,Carros de passeio ou van,1115.0,8.232427643236857,8.232427643236857,NÃO,13544.0,13544.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516309001,V05203,"Pedestres, bicicletas e motocicletas",549.0,4.053455404607206,4.053455404607206,NÃO,13544.0,13544.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516309001,V05204,Aquavia,0.0,0.0,0.0,NÃO,13544.0,13544.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516309001,V05205,Saltado,0.0,0.0,,SIM,13544.0,13544.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3516309001,V05401,"Caminhão, ônibus",246.0,73.87387387387388,74.32024169184291,NÃO,333.0,331.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3516309001,V05402,Carros de passeio ou van,40.0,12.012012012012011,12.084592145015106,NÃO,333.0,331.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3516309001,V05403,"Pedestres, bicicletas e motocicletas",45.0,13.513513513513514,13.595166163141995,NÃO,333.0,331.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
