CD_SETOR,APOND
351630905000008,3516309001
351630905000009,3516309001
351630905000012,3516309002
351630905000014,3516309002
351630905000016,3516309002
351630905000017,3516309002
351630905000021,3516309001
351630905000024,3516309001
351630905000025,3516309001
351630905000027,3516309001
351630905000031,3516309002
351630905000036,3516309002
351630905000054,3516309007
351630905000056,3516309007
351630905000057,3516309007
351630905000062,3516309007
351630905000074,3516309005
351630905000076,3516309003
351630905000077,3516309003
351630905000078,3516309003
351630905000082,3516309003
351630905000084,3516309003
351630905000086,3516309003
351630905000094,3516309004
351630905000095,3516309004
351630905000096,3516309004
351630905000104,3516309008
351630905000107,3516309008
351630905000112,3516309005
351630905000114,3516309006
351630905000115,3516309006
351630905000116,3516309006
351630905000119,3516309003
351630905000128,3516309008
351630905000129,3516309008
351630905000137,3516309006
351630905000139,3516309008
351630905000140,3516309008
351630905000147,3516309003
351630905000151,3516309006
351630905000155,3516309002
351630905000156,3516309002
351630905000158,3516309007
351630905000159,3516309003
351630905000160,3516309004
351630905000161,3516309003
351630905000162,3516309006
351630905000163,3516309004
351630905000164,3516309006
351630905000165,3516309004
351630905000167,3516309008
351630905000168,3516309008
351630905000169,3516309008
351630905000170,3516309008
351630905000171,3516309008
351630905000174,3516309004
351630905000176,3516309006
351630905000177,3516309003
351630905000181,3516309008
351630905000182,3516309002
351630905000183,3516309002
351630905000184,3516309005
351630905000186,3516309002
351630905000187,3516309002
351630905000188,3516309001
351630905000189,3516309002
351630905000190,3516309004
351630905000191,3516309007
351630905000192,3516309005
351630905000195,3516309003
351630905000196,3516309005
351630905000197,3516309005
351630905000198,3516309003
351630905000199,3516309002
351630905000203,3516309002
351630905000204,3516309003
351630905000205,3516309004
351630905000206,3516309004
351630905000208,3516309003
351630905000214,3516309003
351630905000215,3516309003
351630905000216,3516309007
351630905000217,3516309007
351630905000218,3516309003
351630905000219,3516309003
351630905000220,3516309003
351630905000221,3516309003
351630905000222,3516309003
351630905000223,3516309003
351630905000224,3516309003
351630905000225,3516309003
351630905000226,3516309003
351630905000227,3516309003
351630905000228,3516309003
351630905000229,3516309003
351630905000230,3516309001
351630905000231,3516309001
351630905000232,3516309007
351630905000233,3516309007
351630905000234,3516309007
351630905000235,3516309007
351630905000236,3516309002
351630905000237,3516309002
351630905000238,3516309008
351630905000239,3516309008
351630905000240,3516309001
351630905000241,3516309001
351630905000242,3516309001
351630905000243,3516309001
351630905000244,3516309001
351630905000245,3516309001
351630905000247,3516309005
351630905000248,3516309002
351630905000249,3516309002
351630905000250,3516309002
351630905000251,3516309002
351630905000252,3516309001
351630905000253,3516309001
351630905000254,3516309008
351630905000255,3516309008
351630905000256,3516309005
351630905000258,3516309001
351630905000259,3516309001
351630905000260,3516309001
351630905000261,3516309005
351630905000262,3516309005
351630905000263,3516309005
351630905000264,3516309005
351630905000265,3516309005
351630905000266,3516309005
351630905000267,3516309007
351630905000268,3516309007
351630905000269,3516309004
351630905000270,3516309004
351630905000271,3516309004
351630905000272,3516309006
351630905000273,3516309006
351630905000274,3516309003
351630905000275,3516309003
351630905000276,3516309002
351630905000277,3516309002
351630905000278,3516309004
351630905000279,3516309004
351630905000280,3516309004
351630905000281,3516309004
351630905000282,3516309005
351630905000283,3516309005
351630905000286,3516309007
351630905000287,3516309007
351630905000288,3516309005
351630905000290,3516309003
351630905000291,3516309003
351630905000293,3516309008
351630905000294,3516309008
351630905000295,3516309008
351630905000296,3516309008
351630905000299,3516309003
351630905000300,3516309003
351630905000301,3516309003
