Tabela,Característica,Universo,APOND,Código,Categoria,Contagem agregada,Percentual bruto (%),Percentual no domínio aplicável (%),Fora do domínio aplicável?,Denominador observado,Denominador no domínio aplicável,Regra do domínio aplicável
E01,Circulação da via,Domicílios,3516408001,V05001,"Caminhão, ônibus",2886.0,60.01247660636307,60.36394059820122,NÃO,4809.0,4781.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516408001,V05002,Carros de passeio ou van,1782.0,37.055520898315656,37.27253712612424,NÃO,4809.0,4781.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516408001,V05003,"Pedestres, bicicletas e motocicletas",113.0,2.3497608650447077,2.363522275674545,NÃO,4809.0,4781.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516408001,V05004,Aquavia,0.0,0.0,0.0,NÃO,4809.0,4781.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516408001,V05005,Saltado,28.0,0.5822416302765648,,SIM,4809.0,4781.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408001,V05201,"Caminhão, ônibus",8008.0,58.58511961372449,59.042984590429846,NÃO,13669.0,13563.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408001,V05202,Carros de passeio ou van,5265.0,38.517814031750675,38.81884538818846,NÃO,13669.0,13563.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408001,V05203,"Pedestres, bicicletas e motocicletas",290.0,2.121588997000512,2.1381700213817,NÃO,13669.0,13563.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408001,V05204,Aquavia,0.0,0.0,0.0,NÃO,13669.0,13563.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408001,V05205,Saltado,106.0,0.7754773575243251,,SIM,13669.0,13563.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3516408001,V05401,"Caminhão, ônibus",373.0,50.67934782608695,51.87760778859527,NÃO,736.0,719.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3516408001,V05402,Carros de passeio ou van,310.0,42.119565217391305,43.11543810848401,NÃO,736.0,719.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3516408001,V05403,"Pedestres, bicicletas e motocicletas",36.0,4.891304347826087,5.006954102920723,NÃO,736.0,719.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3516408001,V05404,Aquavia,0.0,0.0,0.0,NÃO,736.0,719.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3516408001,V05405,Saltado,17.0,2.309782608695652,,SIM,736.0,719.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E02,Pavimentação,Domicílios,3516408001,V05006,Sim,3418.0,71.0750675816178,71.49131980757164,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Domicílios,3516408001,V05007,Não,1363.0,28.342690788105635,28.508680192428365,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Domicílios,3516408001,V05008,Não declarado,28.0,0.5822416302765648,,SIM,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3516408001,V05206,Sim,9777.0,71.5268124954276,72.0858217208582,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3516408001,V05207,Não,3786.0,27.697710147048067,27.914178279141783,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3516408001,V05208,Não declarado,106.0,0.7754773575243251,,SIM,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Faces,3516408001,V05406,Sim,303.0,41.16847826086957,42.14186369958276,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Faces,3516408001,V05407,Não,416.0,56.52173913043478,57.85813630041725,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Faces,3516408001,V05408,Não declarado,17.0,2.309782608695652,,SIM,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Domicílios,3516408001,V05009,Sim,1701.0,35.37117903930131,35.57833089311859,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Domicílios,3516408001,V05010,Não,3080.0,64.04657933042213,64.42166910688141,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Domicílios,3516408001,V05011,Não declarado,28.0,0.5822416302765648,,SIM,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Moradores,3516408001,V05209,Sim,4892.0,35.78901163216036,36.06871636068716,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Moradores,3516408001,V05210,Não,8671.0,63.43551101031532,63.93128363931284,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Moradores,3516408001,V05211,Não declarado,106.0,0.7754773575243251,,SIM,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Faces,3516408001,V05409,Sim,132.0,17.934782608695652,18.35883171070932,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Faces,3516408001,V05410,Não,587.0,79.75543478260869,81.64116828929068,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Faces,3516408001,V05411,Não declarado,17.0,2.309782608695652,,SIM,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Domicílios,3516408001,V05012,Sim,4074.0,84.71615720524017,85.21229868228404,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Domicílios,3516408001,V05013,Não,707.0,14.701601164483261,14.787701317715959,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Domicílios,3516408001,V05014,Não declarado,28.0,0.5822416302765648,,SIM,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Moradores,3516408001,V05212,Sim,11573.0,84.6660326285756,85.3277298532773,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Moradores,3516408001,V05213,Não,1990.0,14.558490013900066,14.672270146722703,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Moradores,3516408001,V05214,Não declarado,106.0,0.7754773575243251,,SIM,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Faces,3516408001,V05412,Sim,452.0,61.41304347826087,62.865090403337966,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Faces,3516408001,V05413,Não,267.0,36.27717391304348,37.13490959666203,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Faces,3516408001,V05414,Não declarado,17.0,2.309782608695652,,SIM,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E05,Ponto de ônibus,Domicílios,3516408001,V05015,Sim,1329.0,27.635683094198377,27.797531897092657,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E05,Ponto de ônibus,Domicílios,3516408001,V05016,Não,3452.0,71.78207527552506,72.20246810290735,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E05,Ponto de ônibus,Domicílios,3516408001,V05017,Não declarado,28.0,0.5822416302765648,,SIM,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E05,Ponto de ônibus,Moradores,3516408001,V05215,Sim,3765.0,27.54407784036872,27.75934527759345,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E05,Ponto de ônibus,Moradores,3516408001,V05216,Não,9798.0,71.68044480210696,72.24065472240655,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E05,Ponto de ônibus,Moradores,3516408001,V05217,Não declarado,106.0,0.7754773575243251,,SIM,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E05,Ponto de ônibus,Faces,3516408001,V05415,Sim,104.0,14.130434782608695,14.464534075104313,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E05,Ponto de ônibus,Faces,3516408001,V05416,Não,615.0,83.55978260869566,85.53546592489569,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E05,Ponto de ônibus,Faces,3516408001,V05417,Não declarado,17.0,2.309782608695652,,SIM,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E06,Via sinalizada para bicicleta,Domicílios,3516408001,V05018,Sim,0.0,0.0,0.0,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E06,Via sinalizada para bicicleta,Domicílios,3516408001,V05019,Não,4781.0,99.41775836972343,100.0,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E06,Via sinalizada para bicicleta,Domicílios,3516408001,V05020,Não declarado,28.0,0.5822416302765648,,SIM,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E06,Via sinalizada para bicicleta,Moradores,3516408001,V05218,Sim,0.0,0.0,0.0,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E06,Via sinalizada para bicicleta,Moradores,3516408001,V05219,Não,13563.0,99.22452264247568,100.0,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E06,Via sinalizada para bicicleta,Moradores,3516408001,V05220,Não declarado,106.0,0.7754773575243251,,SIM,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E06,Via sinalizada para bicicleta,Faces,3516408001,V05418,Sim,0.0,0.0,0.0,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E06,Via sinalizada para bicicleta,Faces,3516408001,V05419,Não,719.0,97.69021739130434,100.0,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E06,Via sinalizada para bicicleta,Faces,3516408001,V05420,Não declarado,17.0,2.309782608695652,,SIM,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E07,Calçada,Domicílios,3516408001,V05021,Sim,3298.0,68.57974630900395,68.98138464756327,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E07,Calçada,Domicílios,3516408001,V05022,Não,1483.0,30.838012060719482,31.01861535243673,NÃO,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E07,Calçada,Domicílios,3516408001,V05023,Não declarado,28.0,0.5822416302765648,,SIM,4809.0,4781.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E07,Calçada,Moradores,3516408001,V05221,Sim,9403.0,68.79069427170971,69.3283196932832,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E07,Calçada,Moradores,3516408001,V05222,Não,4160.0,30.433828370765966,30.6716803067168,NÃO,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E07,Calçada,Moradores,3516408001,V05223,Não declarado,106.0,0.7754773575243251,,SIM,13669.0,13563.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E07,Calçada,Faces,3516408001,V05421,Sim,255.0,34.64673913043478,35.46592489568845,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E07,Calçada,Faces,3516408001,V05422,Não,464.0,63.04347826086957,64.53407510431154,NÃO,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E07,Calçada,Faces,3516408001,V05423,Não declarado,17.0,2.309782608695652,,SIM,736.0,719.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E08,Obstáculo na calçada,Domicílios,3516408001,V05024,Sim,3267.0,67.93512164691205,99.0600363856883,NÃO,4809.0,3298.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E08,Obstáculo na calçada,Domicílios,3516408001,V05025,Não,31.0,0.6446246620919109,0.939963614311704,NÃO,4809.0,3298.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E08,Obstáculo na calçada,Domicílios,3516408001,V05026,Não declarado,1511.0,31.42025369099605,,SIM,4809.0,3298.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E08,Obstáculo na calçada,Moradores,3516408001,V05224,Sim,9292.0,67.97863779354745,98.81952568329257,NÃO,13669.0,9403.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E08,Obstáculo na calçada,Moradores,3516408001,V05225,Não,111.0,0.812056478162265,1.1804743167074339,NÃO,13669.0,9403.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E08,Obstáculo na calçada,Moradores,3516408001,V05226,Não declarado,4266.0,31.209305728290293,,SIM,13669.0,9403.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E08,Obstáculo na calçada,Faces,3516408001,V05424,Sim,247.0,33.559782608695656,96.86274509803921,NÃO,736.0,255.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E08,Obstáculo na calçada,Faces,3516408001,V05425,Não,8.0,1.0869565217391304,3.1372549019607843,NÃO,736.0,255.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E08,Obstáculo na calçada,Faces,3516408001,V05426,Não declarado,481.0,65.35326086956522,,SIM,736.0,255.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E09,Rampa para cadeirante,Domicílios,3516408001,V05027,Sim,130.0,2.703264711998336,3.9417828987265007,NÃO,4809.0,3298.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E09,Rampa para cadeirante,Domicílios,3516408001,V05028,Não,3168.0,65.87648159700561,96.0582171012735,NÃO,4809.0,3298.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E09,Rampa para cadeirante,Domicílios,3516408001,V05029,Não declarado,1511.0,31.42025369099605,,SIM,4809.0,3298.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E09,Rampa para cadeirante,Moradores,3516408001,V05227,Sim,310.0,2.2679054795522715,3.2968201637775176,NÃO,13669.0,9403.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E09,Rampa para cadeirante,Moradores,3516408001,V05228,Não,9093.0,66.52278879215744,96.70317983622249,NÃO,13669.0,9403.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E09,Rampa para cadeirante,Moradores,3516408001,V05229,Não declarado,4266.0,31.209305728290293,,SIM,13669.0,9403.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E09,Rampa para cadeirante,Faces,3516408001,V05427,Sim,12.0,1.6304347826086956,4.705882352941177,NÃO,736.0,255.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E09,Rampa para cadeirante,Faces,3516408001,V05428,Não,243.0,33.016304347826086,95.29411764705881,NÃO,736.0,255.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E09,Rampa para cadeirante,Faces,3516408001,V05429,Não declarado,481.0,65.35326086956522,,SIM,736.0,255.0,Domínio aplicável = Sim + Não; Não declarado coincide com ausência/não aplicação de calçada.
E10,Arborização,Domicílios,3516408001,V05030,Sem árvores,1575.0,32.751091703056765,32.942898975109806,NÃO,4809.0,4781.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Domicílios,3516408001,V05031,1 a 2 árvores,1035.0,21.52214597629445,21.64819075507216,NÃO,4809.0,4781.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Domicílios,3516408001,V05032,3 a 4 árvores,679.0,14.119359534206696,14.202049780380674,NÃO,4809.0,4781.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Domicílios,3516408001,V05033,5 ou mais árvores,1492.0,31.02516115616552,31.206860489437354,NÃO,4809.0,4781.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Domicílios,3516408001,V05034,Saltado,28.0,0.5822416302765648,,SIM,4809.0,4781.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Moradores,3516408001,V05230,Sem árvores,4344.0,31.779940010242154,32.02831232028313,NÃO,13669.0,13563.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Moradores,3516408001,V05231,1 a 2 árvores,2929.0,21.428048869705172,21.595517215955173,NÃO,13669.0,13563.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Moradores,3516408001,V05232,3 a 4 árvores,2000.0,14.631648255175946,14.74600014746,NÃO,13669.0,13563.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Moradores,3516408001,V05233,5 ou mais árvores,4290.0,31.384885507352404,31.630170316301705,NÃO,13669.0,13563.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Moradores,3516408001,V05234,Saltado,106.0,0.7754773575243251,,SIM,13669.0,13563.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Faces,3516408001,V05430,Sem árvores,165.0,22.418478260869566,22.94853963838665,NÃO,736.0,719.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Faces,3516408001,V05431,1 a 2 árvores,110.0,14.945652173913043,15.299026425591098,NÃO,736.0,719.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Faces,3516408001,V05432,3 a 4 árvores,70.0,9.510869565217392,9.735744089012517,NÃO,736.0,719.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Faces,3516408001,V05433,5 ou mais árvores,374.0,50.815217391304344,52.01668984700974,NÃO,736.0,719.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E10,Arborização,Faces,3516408001,V05434,Saltado,17.0,2.309782608695652,,SIM,736.0,719.0,Domínio aplicável = classes substantivas de arborização; Saltado fica fora.
E01,Circulação da via,Domicílios,3516408002,V05001,"Caminhão, ônibus",6212.0,76.88118811881188,76.89070429508602,NÃO,8080.0,8079.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516408002,V05002,Carros de passeio ou van,1348.0,16.683168316831683,16.685233320955565,NÃO,8080.0,8079.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516408002,V05003,"Pedestres, bicicletas e motocicletas",519.0,6.423267326732674,6.424062383958411,NÃO,8080.0,8079.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516408002,V05004,Aquavia,0.0,0.0,0.0,NÃO,8080.0,8079.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3516408002,V05005,Saltado,1.0,0.012376237623762377,,SIM,8080.0,8079.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408002,V05201,"Caminhão, ônibus",17554.0,76.10995490808186,76.11655537247421,NÃO,23064.0,23062.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408002,V05202,Carros de passeio ou van,3988.0,17.29101630246271,17.292515826901397,NÃO,23064.0,23062.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408002,V05203,"Pedestres, bicicletas e motocicletas",1520.0,6.590357266736039,6.590928800624404,NÃO,23064.0,23062.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408002,V05204,Aquavia,0.0,0.0,0.0,NÃO,23064.0,23062.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3516408002,V05205,Saltado,2.0,0.008671522719389525,,SIM,23064.0,23062.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
