CD_SETOR,APOND
351640805000002,3516408005
351640805000004,3516408005
351640805000005,3516408005
351640805000010,3516408007
351640805000012,3516408005
351640805000015,3516408005
351640805000024,3516408007
351640805000028,3516408007
351640805000033,3516408005
351640805000034,3516408005
351640805000036,3516408005
351640805000037,3516408003
351640805000048,3516408007
351640805000052,3516408007
351640805000055,3516408007
351640805000064,3516408003
351640805000070,3516408002
351640805000071,3516408002
351640805000073,3516408002
351640805000075,3516408002
351640805000076,3516408002
351640805000077,3516408005
351640805000078,3516408007
351640805000079,3516408007
351640805000087,3516408001
351640805000092,3516408002
351640805000094,3516408006
351640805000095,3516408007
351640805000096,3516408007
351640805000099,3516408004
351640805000105,3516408001
351640805000108,3516408001
351640805000109,3516408006
351640805000110,3516408006
351640805000115,3516408006
351640805000118,3516408004
351640805000119,3516408006
351640805000120,3516408001
351640805000121,3516408001
351640805000122,3516408004
351640805000124,3516408004
351640805000125,3516408004
351640805000126,3516408001
351640805000130,3516408004
351640805000132,3516408006
351640805000136,3516408006
351640805000137,3516408006
351640805000138,3516408006
351640805000140,3516408006
351640805000141,3516408006
351640805000142,3516408006
351640805000144,3516408004
351640805000146,3516408003
351640805000148,3516408005
351640805000151,3516408004
351640805000153,3516408002
351640805000154,3516408002
351640805000156,3516408006
351640805000158,3516408003
351640805000159,3516408002
351640805000160,3516408002
351640805000165,3516408001
351640805000166,3516408006
351640805000169,3516408003
351640805000170,3516408003
351640805000171,3516408006
351640805000172,3516408006
351640805000173,3516408003
351640805000175,3516408004
351640805000176,3516408003
351640805000177,3516408003
351640805000180,3516408005
351640805000181,3516408005
351640805000182,3516408005
351640805000183,3516408005
351640805000184,3516408002
351640805000186,3516408002
351640805000188,3516408002
351640805000189,3516408002
351640805000190,3516408002
351640805000191,3516408007
351640805000192,3516408007
351640805000195,3516408006
351640805000197,3516408002
351640805000198,3516408005
351640805000199,3516408003
351640805000200,3516408003
351640805000201,3516408003
351640805000202,3516408004
351640805000203,3516408004
351640805000205,3516408004
351640805000206,3516408003
351640805000207,3516408005
351640805000208,3516408004
351640805000209,3516408007
351640805000210,3516408007
351640805000211,3516408002
351640805000212,3516408007
351640805000213,3516408007
351640805000214,3516408005
351640805000215,3516408007
351640805000216,3516408007
351640805000217,3516408006
351640805000218,3516408006
351640805000219,3516408006
351640805000220,3516408003
351640805000221,3516408003
351640805000222,3516408003
351640805000223,3516408003
351640805000224,3516408005
351640805000225,3516408005
351640805000226,3516408007
351640805000227,3516408007
351640805000228,3516408007
351640805000229,3516408007
351640805000230,3516408003
351640805000231,3516408003
351640805000232,3516408002
351640805000233,3516408002
351640805000234,3516408006
351640805000235,3516408006
351640805000236,3516408005
351640805000237,3516408005
351640805000238,3516408005
351640805000239,3516408005
351640805000240,3516408005
351640805000241,3516408005
351640805000242,3516408004
351640805000243,3516408004
351640805000244,3516408004
351640805000246,3516408004
351640805000247,3516408004
351640805000248,3516408001
351640805000249,3516408001
351640805000250,3516408001
351640805000251,3516408001
351640805000252,3516408006
351640805000253,3516408006
351640805000254,3516408003
351640805000256,3516408007
351640805000257,3516408007
351640805000258,3516408005
351640805000259,3516408005
351640805000260,3516408006
351640805000261,3516408006
351640805000262,3516408005
351640805000264,3516408007
351640805000265,3516408007
351640805000266,3516408005
351640805000267,3516408005
351640805000268,3516408005
351640805000269,3516408005
351640805000270,3516408002
351640805000271,3516408002
351640805000272,3516408006
351640805000273,3516408006
351640805000274,3516408001
351640805000275,3516408001
351640805000276,3516408007
351640805000277,3516408007
351640805000278,3516408005
351640805000279,3516408005
351640805000280,3516408001
351640805000282,3516408007
351640805000283,3516408007
351640805000284,3516408006
351640805000285,3516408006
351640805000286,3516408004
351640805000287,3516408004
351640805000288,3516408004
351640805000289,3516408001
351640805000290,3516408001
351640805000291,3516408001
351640805000292,3516408001
351640805000293,3516408001
351640805000294,3516408001
351640805000295,3516408007
351640805000296,3516408007
351640805000297,3516408007
351640805000298,3516408007
351640805000299,3516408007
351640805000301,3516408006
351640805000304,3516408002
351640805000305,3516408002
351640805000306,3516408001
351640805000308,3516408002
351640805000309,3516408002
351640805000310,3516408002
351640805000311,3516408006
351640805000312,3516408002
351640805000313,3516408006
351640805000314,3516408006
351640805000315,3516408003
351640805000316,3516408005
351640805000317,3516408001
351640805000319,3516408002
351640805000320,3516408002
351640805000323,3516408006
351640805000324,3516408006
351640805000325,3516408004
351640805000328,3516408003
351640805000329,3516408003
351640805000330,3516408004
351640805000332,3516408002
351640805000333,3516408002
351640805000334,3516408002
351640805000335,3516408007
351640805000336,3516408007
351640805000337,3516408002
351640805000338,3516408002
351640805000341,3516408004
351640805000342,3516408003
351640805000343,3516408004
351640805000344,3516408003
351640805000345,3516408004
351640805000346,3516408003
351640805000347,3516408003
351640805000348,3516408005
351640805000349,3516408005
351640805000350,3516408002
351640805000351,3516408001
351640805000354,3516408004
351640805000355,3516408004
351640805000356,3516408004
351640805000357,3516408001
351640805000358,3516408001
351640805000359,3516408001
351640805000360,3516408004
351640805000361,3516408004
351640805000362,3516408002
351640805000364,3516408003
351640805000365,3516408003
351640805000366,3516408005
351640805000368,3516408005
351640805000369,3516408005
351640805000370,3516408006
351640805000372,3516408004
351640805000373,3516408005
351640805000374,3516408005
351640805000375,3516408006
351640805000376,3516408006
351640805000377,3516408006
351640805000378,3516408004
351640805000379,3516408004
351640805000382,3516408004
351640805000383,3516408004
351640805000384,3516408004
351640805000385,3516408004
351640805000386,3516408004
351640805000387,3516408004
351640805000388,3516408004
351640805000389,3516408004
351640805000391,3516408004
351640805000392,3516408007
351640805000393,3516408007
351640805000394,3516408003
351640805000395,3516408007
351640805000396,3516408007
351640805000397,3516408005
351640805000398,3516408005
351640805000399,3516408005
351640805000400,3516408005
351640805000401,3516408002
351640805000402,3516408002
351640805000403,3516408001
351640805000404,3516408006
351640805000405,3516408006
351640805000406,3516408005
351640805000407,3516408007
351640805000408,3516408003
351640805000409,3516408006
351640805000410,3516408006
351640805000411,3516408006
351640805000412,3516408006
351640805000414,3516408002
351640805000415,3516408002
351640805000418,3516408006
351640805000419,3516408006
351640805000420,3516408006
351640805000421,3516408006
351640805000422,3516408006
351640805000424,3516408006
351640805000425,3516408002
351640805000426,3516408002
351640805000427,3516408004
351640805000429,3516408004
351640805000430,3516408004
351640805000433,3516408002
351640805000437,3516408004
351640805000438,3516408002
351640805000439,3516408004
351640805000441,3516408005
351640805000442,3516408003
351640805000443,3516408001
351640805000446,3516408006
351640805000447,3516408006
351640805000448,3516408006
351640805000449,3516408006
351640805000450,3516408007
351640805000451,3516408007
351640805000452,3516408004
351640805000453,3516408001
351640805000454,3516408003
351640805000455,3516408003
351640805000456,3516408001
351640805000457,3516408001
351640805000458,3516408001
351640805000460,3516408004
351640805000461,3516408004
351640805000462,3516408004
351640805000463,3516408004
351640805000464,3516408004
351640805000465,3516408004
351640805000466,3516408004
351640805000467,3516408004
351640805000468,3516408004
351640805000469,3516408004
351640805000470,3516408004
351640805000471,3516408004
351640805000472,3516408005
351640805000473,3516408005
351640805000474,3516408002
351640805000475,3516408002
351640805000476,3516408001
351640805000477,3516408001
351640805000479,3516408006
351640805000480,3516408003
351640805000481,3516408003
351640805000482,3516408003
351640805000483,3516408003
351640805000484,3516408003
351640805000485,3516408006
351640805000486,3516408006
351640805000487,3516408006
351640805000488,3516408006
351640805000489,3516408003
351640805000490,3516408003
351640805000492,3516408001
351640805000493,3516408001
351640805000495,3516408001
351640805000496,3516408001
351640805000497,3516408001
