Tabela,Característica,Universo,APOND,Código,Categoria,Contagem agregada,Percentual bruto (%),Percentual no domínio aplicável (%),Fora do domínio aplicável?,Denominador observado,Denominador no domínio aplicável,Regra do domínio aplicável
E01,Circulação da via,Domicílios,3527306001,V05001,"Caminhão, ônibus",4697.0,91.18617744127354,91.18617744127354,NÃO,5151.0,5151.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3527306001,V05002,Carros de passeio ou van,454.0,8.81382255872646,8.81382255872646,NÃO,5151.0,5151.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3527306001,V05003,"Pedestres, bicicletas e motocicletas",0.0,0.0,0.0,NÃO,5151.0,5151.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3527306001,V05004,Aquavia,0.0,0.0,0.0,NÃO,5151.0,5151.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3527306001,V05005,Saltado,0.0,0.0,,SIM,5151.0,5151.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3527306001,V05201,"Caminhão, ônibus",13827.0,91.30951594796277,91.30951594796277,NÃO,15143.0,15143.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3527306001,V05202,Carros de passeio ou van,1316.0,8.690484052037245,8.690484052037245,NÃO,15143.0,15143.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3527306001,V05203,"Pedestres, bicicletas e motocicletas",0.0,0.0,0.0,NÃO,15143.0,15143.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3527306001,V05204,Aquavia,0.0,0.0,0.0,NÃO,15143.0,15143.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3527306001,V05205,Saltado,0.0,0.0,,SIM,15143.0,15143.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3527306001,V05401,"Caminhão, ônibus",705.0,88.9029003783102,88.9029003783102,NÃO,793.0,793.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3527306001,V05402,Carros de passeio ou van,71.0,8.953341740226985,8.953341740226985,NÃO,793.0,793.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3527306001,V05403,"Pedestres, bicicletas e motocicletas",17.0,2.1437578814627996,2.1437578814627996,NÃO,793.0,793.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3527306001,V05404,Aquavia,0.0,0.0,0.0,NÃO,793.0,793.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3527306001,V05405,Saltado,0.0,0.0,,SIM,793.0,793.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E02,Pavimentação,Domicílios,3527306001,V05006,Sim,5049.0,98.01980198019803,98.01980198019803,NÃO,5151.0,5151.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Domicílios,3527306001,V05007,Não,102.0,1.9801980198019802,1.9801980198019802,NÃO,5151.0,5151.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Domicílios,3527306001,V05008,Não declarado,0.0,0.0,,SIM,5151.0,5151.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3527306001,V05206,Sim,14848.0,98.05190517070594,98.05190517070594,NÃO,15143.0,15143.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3527306001,V05207,Não,295.0,1.9480948292940632,1.9480948292940632,NÃO,15143.0,15143.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3527306001,V05208,Não declarado,0.0,0.0,,SIM,15143.0,15143.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
