Tabela,Característica,Universo,APOND,Código,Categoria,Contagem agregada,Percentual bruto (%),Percentual no domínio aplicável (%),Fora do domínio aplicável?,Denominador observado,Denominador no domínio aplicável,Regra do domínio aplicável
E01,Circulação da via,Domicílios,3556206001,V05001,"Caminhão, ônibus",6822.0,94.90818030050083,94.90818030050083,NÃO,7188.0,7188.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3556206001,V05002,Carros de passeio ou van,360.0,5.008347245409015,5.008347245409015,NÃO,7188.0,7188.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3556206001,V05003,"Pedestres, bicicletas e motocicletas",6.0,0.08347245409015025,0.08347245409015025,NÃO,7188.0,7188.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3556206001,V05004,Aquavia,0.0,0.0,0.0,NÃO,7188.0,7188.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3556206001,V05005,Saltado,0.0,0.0,,SIM,7188.0,7188.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556206001,V05201,"Caminhão, ônibus",18727.0,95.02232595900142,95.02232595900142,NÃO,19708.0,19708.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556206001,V05202,Carros de passeio ou van,965.0,4.896488735538868,4.896488735538868,NÃO,19708.0,19708.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556206001,V05203,"Pedestres, bicicletas e motocicletas",16.0,0.0811853054597118,0.0811853054597118,NÃO,19708.0,19708.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556206001,V05204,Aquavia,0.0,0.0,0.0,NÃO,19708.0,19708.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556206001,V05205,Saltado,0.0,0.0,,SIM,19708.0,19708.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556206001,V05401,"Caminhão, ônibus",841.0,91.91256830601094,92.21491228070175,NÃO,915.0,912.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556206001,V05402,Carros de passeio ou van,68.0,7.431693989071038,7.456140350877193,NÃO,915.0,912.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556206001,V05403,"Pedestres, bicicletas e motocicletas",3.0,0.32786885245901637,0.3289473684210526,NÃO,915.0,912.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556206001,V05404,Aquavia,0.0,0.0,0.0,NÃO,915.0,912.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556206001,V05405,Saltado,3.0,0.32786885245901637,,SIM,915.0,912.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E02,Pavimentação,Domicílios,3556206001,V05006,Sim,7183.0,99.93043962159153,99.93043962159153,NÃO,7188.0,7188.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Domicílios,3556206001,V05007,Não,5.0,0.06956037840845854,0.06956037840845854,NÃO,7188.0,7188.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Domicílios,3556206001,V05008,Não declarado,0.0,0.0,,SIM,7188.0,7188.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3556206001,V05206,Sim,19694.0,99.92896285772275,99.92896285772275,NÃO,19708.0,19708.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3556206001,V05207,Não,14.0,0.07103714227724782,0.07103714227724782,NÃO,19708.0,19708.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Moradores,3556206001,V05208,Não declarado,0.0,0.0,,SIM,19708.0,19708.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Faces,3556206001,V05406,Sim,903.0,98.68852459016394,99.01315789473685,NÃO,915.0,912.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Faces,3556206001,V05407,Não,9.0,0.9836065573770493,0.9868421052631579,NÃO,915.0,912.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E02,Pavimentação,Faces,3556206001,V05408,Não declarado,3.0,0.32786885245901637,,SIM,915.0,912.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Domicílios,3556206001,V05009,Sim,6594.0,91.73622704507513,91.73622704507513,NÃO,7188.0,7188.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Domicílios,3556206001,V05010,Não,594.0,8.263772954924875,8.263772954924875,NÃO,7188.0,7188.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Domicílios,3556206001,V05011,Não declarado,0.0,0.0,,SIM,7188.0,7188.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Moradores,3556206001,V05209,Sim,17991.0,91.28780190785469,91.28780190785469,NÃO,19708.0,19708.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Moradores,3556206001,V05210,Não,1717.0,8.712198092145321,8.712198092145321,NÃO,19708.0,19708.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Moradores,3556206001,V05211,Não declarado,0.0,0.0,,SIM,19708.0,19708.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Faces,3556206001,V05409,Sim,760.0,83.06010928961749,83.33333333333334,NÃO,915.0,912.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Faces,3556206001,V05410,Não,152.0,16.612021857923498,16.666666666666664,NÃO,915.0,912.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E03,Bueiro / boca de lobo,Faces,3556206001,V05411,Não declarado,3.0,0.32786885245901637,,SIM,915.0,912.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Domicílios,3556206001,V05012,Sim,7171.0,99.76349471341123,99.76349471341123,NÃO,7188.0,7188.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Domicílios,3556206001,V05013,Não,17.0,0.23650528658875902,0.23650528658875902,NÃO,7188.0,7188.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Domicílios,3556206001,V05014,Não declarado,0.0,0.0,,SIM,7188.0,7188.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Moradores,3556206001,V05212,Sim,19658.0,99.7462959204384,99.7462959204384,NÃO,19708.0,19708.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Moradores,3556206001,V05213,Não,50.0,0.25370407956159935,0.25370407956159935,NÃO,19708.0,19708.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Moradores,3556206001,V05214,Não declarado,0.0,0.0,,SIM,19708.0,19708.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
E04,Iluminação pública,Faces,3556206001,V05412,Sim,901.0,98.46994535519126,98.79385964912281,NÃO,915.0,912.0,Domínio aplicável = Sim + Não; Não declarado coincide com circulação Aquavia + Saltado.
