CD_SETOR,APOND
355620605000002,3556206003
355620605000003,3556206006
355620605000004,3556206006
355620605000005,3556206006
355620605000006,3556206007
355620605000007,3556206007
355620605000008,3556206007
355620605000009,3556206007
355620605000010,3556206007
355620605000011,3556206007
355620605000012,3556206007
355620605000014,3556206003
355620605000015,3556206003
355620605000016,3556206003
355620605000017,3556206003
355620605000019,3556206001
355620605000020,3556206001
355620605000021,3556206001
355620605000022,3556206001
355620605000023,3556206001
355620605000024,3556206001
355620605000025,3556206001
355620605000026,3556206001
355620605000027,3556206001
355620605000028,3556206001
355620605000029,3556206001
355620605000031,3556206001
355620605000032,3556206001
355620605000033,3556206001
355620605000034,3556206001
355620605000035,3556206001
355620605000037,3556206003
355620605000039,3556206003
355620605000040,3556206003
355620605000041,3556206006
355620605000042,3556206006
355620605000043,3556206001
355620605000044,3556206003
355620605000046,3556206005
355620605000048,3556206006
355620605000049,3556206006
355620605000051,3556206006
355620605000052,3556206006
355620605000053,3556206006
355620605000055,3556206007
355620605000056,3556206006
355620605000057,3556206006
355620605000058,3556206005
355620605000059,3556206005
355620605000060,3556206005
355620605000061,3556206005
355620605000062,3556206005
355620605000063,3556206005
355620605000064,3556206007
355620605000065,3556206007
355620605000066,3556206007
355620605000067,3556206007
355620605000068,3556206007
355620605000070,3556206007
355620605000071,3556206007
355620605000072,3556206003
355620605000073,3556206007
355620605000074,3556206004
355620605000076,3556206002
355620605000077,3556206002
355620605000078,3556206002
355620605000079,3556206002
355620605000080,3556206002
355620605000081,3556206004
355620605000082,3556206004
355620605000083,3556206003
355620605000086,3556206005
355620605000087,3556206005
355620605000090,3556206002
355620605000092,3556206002
355620605000093,3556206002
355620605000094,3556206002
355620605000095,3556206002
355620605000096,3556206002
355620605000098,3556206006
355620605000099,3556206003
355620605000100,3556206006
355620605000102,3556206006
355620605000104,3556206007
355620605000105,3556206004
355620605000106,3556206005
355620605000108,3556206004
355620605000110,3556206002
355620605000111,3556206002
355620605000113,3556206005
355620605000114,3556206005
355620605000118,3556206005
355620605000119,3556206005
355620605000127,3556206005
355620605000128,3556206005
355620605000129,3556206005
355620605000131,3556206003
355620605000132,3556206006
355620605000133,3556206004
355620605000134,3556206001
355620605000135,3556206001
355620605000138,3556206003
355620605000139,3556206003
355620605000140,3556206006
355620605000141,3556206006
355620605000142,3556206006
355620605000143,3556206005
355620605000144,3556206005
355620605000145,3556206007
355620605000147,3556206007
355620605000148,3556206007
355620605000149,3556206004
355620605000150,3556206002
355620605000153,3556206004
355620605000154,3556206002
355620605000155,3556206004
355620605000156,3556206003
355620605000157,3556206006
355620605000158,3556206007
355620605000159,3556206004
355620605000160,3556206002
355620605000161,3556206005
355620605000162,3556206005
355620605000163,3556206007
355620605000164,3556206007
355620605000165,3556206003
355620605000166,3556206003
355620605000167,3556206004
355620605000168,3556206002
355620605000169,3556206004
355620605000170,3556206001
355620605000171,3556206001
355620605000172,3556206001
355620605000173,3556206003
355620605000174,3556206005
355620605000175,3556206005
355620605000177,3556206006
355620605000178,3556206006
355620605000179,3556206006
355620605000180,3556206006
355620605000181,3556206005
355620605000182,3556206007
355620605000184,3556206001
355620605000187,3556206005
355620605000188,3556206005
355620605000189,3556206005
355620605000190,3556206005
355620605000191,3556206005
355620605000196,3556206006
355620605000197,3556206006
355620605000198,3556206006
355620605000199,3556206005
355620605000201,3556206003
355620605000202,3556206003
355620605000203,3556206005
355620605000204,3556206005
355620605000205,3556206005
355620605000206,3556206005
355620605000207,3556206003
355620605000209,3556206005
355620605000210,3556206005
355620605000211,3556206005
355620605000212,3556206005
355620605000213,3556206004
355620605000214,3556206004
355620605000215,3556206007
355620605000216,3556206007
355620605000217,3556206007
355620605000218,3556206006
355620605000219,3556206006
355620605000220,3556206004
355620605000221,3556206002
355620605000222,3556206001
355620605000223,3556206001
355620605000224,3556206001
355620605000225,3556206004
355620605000226,3556206004
355620605000227,3556206001
355620605000228,3556206001
355620605000229,3556206007
355620605000230,3556206007
355620605000232,3556206003
355620605000233,3556206003
355620605000235,3556206004
355620605000237,3556206004
355620605000238,3556206007
355620605000239,3556206002
355620605000241,3556206005
355620605000242,3556206005
355620605000243,3556206004
355620605000245,3556206004
355620605000248,3556206002
355620605000249,3556206003
355620605000250,3556206003
355620605000251,3556206005
355620605000253,3556206001
355620605000254,3556206001
355620605000255,3556206003
355620605000256,3556206003
355620605000257,3556206005
355620605000258,3556206005
355620605000259,3556206005
355620605000260,3556206005
355620605000261,3556206007
355620605000262,3556206007
355620605000263,3556206007
355620605000264,3556206007
355620605000265,3556206007
355620605000266,3556206004
355620605000267,3556206004
355620605000268,3556206006
355620605000269,3556206006
355620605000271,3556206005
355620605000273,3556206005
355620605000274,3556206005
355620605000275,3556206005
355620605000276,3556206005
355620605000278,3556206006
355620605000280,3556206005
355620605000281,3556206005
355620605000282,3556206003
355620605000285,3556206004
355620605000286,3556206004
355620605000289,3556206004
355620605000290,3556206002
355620605000291,3556206002
355620605000292,3556206002
355620605000293,3556206002
355620605000294,3556206005
355620605000295,3556206005
355620605000296,3556206004
355620605000297,3556206005
355620605000298,3556206005
