Tabela,Característica,Universo,APOND,Código,Categoria,Contagem agregada,Percentual bruto (%),Percentual no domínio aplicável (%),Fora do domínio aplicável?,Denominador observado,Denominador no domínio aplicável,Regra do domínio aplicável
E01,Circulação da via,Domicílios,3556503001,V05001,"Caminhão, ônibus",4821.0,97.49241658240648,97.49241658240648,NÃO,4945.0,4945.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3556503001,V05002,Carros de passeio ou van,104.0,2.1031344792719917,2.1031344792719917,NÃO,4945.0,4945.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3556503001,V05003,"Pedestres, bicicletas e motocicletas",20.0,0.40444893832153694,0.40444893832153694,NÃO,4945.0,4945.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3556503001,V05004,Aquavia,0.0,0.0,0.0,NÃO,4945.0,4945.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Domicílios,3556503001,V05005,Saltado,0.0,0.0,,SIM,4945.0,4945.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556503001,V05201,"Caminhão, ônibus",14158.0,97.7020219446553,97.7020219446553,NÃO,14491.0,14491.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556503001,V05202,Carros de passeio ou van,287.0,1.980539645297081,1.980539645297081,NÃO,14491.0,14491.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556503001,V05203,"Pedestres, bicicletas e motocicletas",46.0,0.31743841004761575,0.31743841004761575,NÃO,14491.0,14491.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556503001,V05204,Aquavia,0.0,0.0,0.0,NÃO,14491.0,14491.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Moradores,3556503001,V05205,Saltado,0.0,0.0,,SIM,14491.0,14491.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556503001,V05401,"Caminhão, ônibus",290.0,90.9090909090909,90.9090909090909,NÃO,319.0,319.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556503001,V05402,Carros de passeio ou van,14.0,4.38871473354232,4.38871473354232,NÃO,319.0,319.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556503001,V05403,"Pedestres, bicicletas e motocicletas",15.0,4.702194357366771,4.702194357366771,NÃO,319.0,319.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556503001,V05404,Aquavia,0.0,0.0,0.0,NÃO,319.0,319.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
E01,Circulação da via,Faces,3556503001,V05405,Saltado,0.0,0.0,,SIM,319.0,319.0,Domínio aplicável = categorias substantivas de circulação; Saltado fica fora.
