CD_SETOR,APOND
355650305000001,3556503005
355650305000002,3556503005
355650305000003,3556503005
355650305000005,3556503006
355650305000007,3556503006
355650305000011,3556503003
355650305000012,3556503003
355650305000013,3556503003
355650305000014,3556503003
355650305000015,3556503005
355650305000016,3556503005
355650305000018,3556503006
355650305000020,3556503006
355650305000021,3556503006
355650305000025,3556503003
355650305000026,3556503004
355650305000029,3556503004
355650305000030,3556503004
355650305000031,3556503004
355650305000032,3556503004
355650305000033,3556503005
355650305000034,3556503004
355650305000035,3556503004
355650305000036,3556503004
355650305000037,3556503004
355650305000038,3556503004
355650305000039,3556503004
355650305000040,3556503004
355650305000041,3556503004
355650305000042,3556503004
355650305000044,3556503005
355650305000045,3556503005
355650305000047,3556503005
355650305000048,3556503004
355650305000049,3556503005
355650305000050,3556503005
355650305000051,3556503005
355650305000052,3556503005
355650305000053,3556503005
355650305000056,3556503005
355650305000057,3556503005
355650305000059,3556503007
355650305000060,3556503007
355650305000061,3556503007
355650305000062,3556503007
355650305000065,3556503007
355650305000068,3556503001
355650305000070,3556503001
355650305000075,3556503001
355650305000076,3556503002
355650305000077,3556503002
355650305000078,3556503002
355650305000079,3556503002
355650305000080,3556503002
355650305000086,3556503006
355650305000088,3556503003
355650305000089,3556503004
355650305000090,3556503005
355650305000091,3556503006
355650305000092,3556503006
355650305000095,3556503004
355650305000098,3556503004
355650305000099,3556503005
355650305000100,3556503005
355650305000101,3556503007
355650305000102,3556503007
355650305000107,3556503002
355650305000108,3556503002
355650305000111,3556503002
355650305000112,3556503002
355650305000113,3556503003
355650305000119,3556503005
355650305000120,3556503005
355650305000121,3556503006
355650305000122,3556503003
355650305000123,3556503005
355650305000124,3556503003
355650305000125,3556503005
355650305000127,3556503006
355650305000128,3556503006
355650305000132,3556503003
355650305000133,3556503004
355650305000135,3556503004
355650305000136,3556503004
355650305000137,3556503004
355650305000138,3556503004
355650305000139,3556503004
355650305000140,3556503004
355650305000141,3556503004
355650305000142,3556503004
355650305000143,3556503005
355650305000144,3556503005
355650305000147,3556503005
355650305000148,3556503005
355650305000149,3556503005
355650305000152,3556503007
355650305000153,3556503007
355650305000154,3556503007
355650305000155,3556503001
355650305000156,3556503004
355650305000158,3556503007
355650305000159,3556503001
355650305000160,3556503002
355650305000161,3556503001
355650305000162,3556503001
355650305000163,3556503002
355650305000165,3556503002
355650305000166,3556503002
355650305000168,3556503004
355650305000169,3556503003
355650305000171,3556503002
355650305000172,3556503002
355650305000173,3556503001
355650305000175,3556503007
355650305000178,3556503006
355650305000179,3556503006
355650305000180,3556503007
355650305000181,3556503007
355650305000182,3556503007
355650305000184,3556503007
355650305000185,3556503007
355650305000186,3556503002
355650305000187,3556503002
355650305000188,3556503001
355650305000189,3556503001
355650305000190,3556503001
355650305000191,3556503001
355650305000192,3556503002
355650305000193,3556503002
355650305000194,3556503001
355650305000195,3556503001
355650305000196,3556503002
355650305000197,3556503005
355650305000198,3556503005
355650305000199,3556503004
355650305000201,3556503004
355650305000202,3556503004
355650305000203,3556503004
355650305000204,3556503007
355650305000205,3556503007
355650305000206,3556503001
355650305000207,3556503001
355650305000209,3556503003
355650305000210,3556503004
355650305000213,3556503003
355650305000214,3556503003
355650305000216,3556503006
355650305000217,3556503003
355650305000218,3556503003
355650305000219,3556503005
355650305000220,3556503005
355650305000221,3556503005
355650305000222,3556503005
355650305000223,3556503005
355650305000224,3556503002
355650305000226,3556503005
355650305000228,3556503002
355650305000231,3556503006
355650305000233,3556503006
355650305000234,3556503006
355650305000235,3556503003
355650305000236,3556503003
355650305000237,3556503002
355650305000238,3556503002
355650305000240,3556503001
355650305000241,3556503002
355650305000242,3556503002
355650305000244,3556503003
355650305000245,3556503003
355650305000246,3556503003
355650305000248,3556503001
355650305000249,3556503001
355650305000250,3556503001
355650305000251,3556503001
355650305000252,3556503001
355650305000253,3556503002
355650305000254,3556503002
355650305000255,3556503005
355650305000256,3556503005
355650305000257,3556503003
355650305000258,3556503003
355650305000259,3556503004
355650305000260,3556503004
355650305000261,3556503007
355650305000263,3556503002
355650305000264,3556503002
355650305000265,3556503002
355650305000266,3556503002
355650305000267,3556503001
355650305000268,3556503001
355650305000269,3556503003
355650305000271,3556503006
355650305000272,3556503006
355650305000273,3556503006
355650305000274,3556503006
355650305000275,3556503006
355650305000276,3556503006
355650305000277,3556503006
355650305000279,3556503007
355650305000280,3556503007
355650305000281,3556503003
355650305000282,3556503003
355650305000283,3556503005
355650305000284,3556503005
355650305000285,3556503002
355650305000286,3556503006
355650305000287,3556503007
355650305000289,3556503004
355650305000290,3556503002
355650305000294,3556503002
355650305000295,3556503002
355650305000301,3556503006
355650305000304,3556503005
355650305000305,3556503005
355650305000307,3556503001
355650305000308,3556503002
355650305000312,3556503006
355650305000315,3556503004
355650305000317,3556503003
355650305000319,3556503005
355650305000321,3556503003
355650305000322,3556503004
355650305000324,3556503003
355650305000325,3556503005
355650305000327,3556503005
355650305000328,3556503005
355650305000329,3556503006
355650305000330,3556503005
355650305000331,3556503007
355650305000332,3556503005
355650305000333,3556503003
355650305000334,3556503003
355650305000335,3556503005
355650305000336,3556503003
355650305000337,3556503006
355650305000338,3556503003
355650305000339,3556503003
355650305000340,3556503007
355650305000341,3556503007
355650305000342,3556503007
355650305000343,3556503002
355650305000344,3556503002
355650305000345,3556503002
