parquet_column,parquet_type,app_equivalent,human_alias,app_type,code_map
id,VARCHAR,,,,
Geocódigo de Setor Censitário,VARCHAR,CD_SETOR,CD_SETOR,categorical/int,
SITUACAO,VARCHAR,,,,
CD_SIT,VARCHAR,,,,
Tipo do Setor Censitário,VARCHAR,TP_SETOR_TXT,Tipo do Setor Censitário,,
Área do Setor Censitário em quilômetros quadrados,DOUBLE,,,,
Código das Grandes Regiões (Regiões Geográficas),VARCHAR,,,,
Nome das Grandes Regiões (Regiões Geográficas),VARCHAR,,,,
Código da Unidade da Federação,VARCHAR,CD_UF,CD_UF,categorical/int,
Nome da Unidade da Federação,VARCHAR,NM_UF,NM_UF,,
Código do Município,VARCHAR,CD_MUN,CD_MUN,categorical/int,
Nome do Município,VARCHAR,NM_MUN,NM_MUN,,
Código do Distrito,VARCHAR,,,,
Nome do Distrito,VARCHAR,,,,
CD_SUBDIST,VARCHAR,,,,
Nome do Subdistrito,VARCHAR,,,,
Código do Bairro,VARCHAR,,,,
Nome do Bairro,VARCHAR,,,,
Código do Núcleo Urbano,VARCHAR,,,,
Nome do Núcleo Urbano,VARCHAR,,,,
Código da Favela ou Comunidade Urbana,VARCHAR,,,,
Nome da Favela ou Comunidade Urbana,VARCHAR,,,,
Código do Aglomerado,VARCHAR,,,,
Nome do Aglomerado,VARCHAR,,,,
Código da Região Geográfica Intermediária,VARCHAR,,,,
Nome da Região Geográfica Intermediária,VARCHAR,NM_RGINT,NM_RGINT,,
Código da Região Geográfica Imediata,VARCHAR,,,,
Nome da Região Geográfica Imediata,VARCHAR,NM_RGI,NM_RGI,,
Código da Concentração Urbana,VARCHAR,,,,
Nome da Concentração Urbana,VARCHAR,,,,
v0001,BIGINT,V0001,Total de pessoas,numeric,"{""V0001"": ""Total de pessoas""}"
v0002,BIGINT,V0002,Total de Domicílios (DPPO + DPPV + DPPUO + DPIO + DCCM + DCSM),numeric,"{""V0002"": ""Total de Domicílios (DPPO + DPPV + DPPUO + DPIO + DCCM + DCSM)""}"
v0003,BIGINT,V0003,Total de Domicílios Particulares (DPPO + DPPV + DPPUO + DPIO),numeric,"{""V0003"": ""Total de Domicílios Particulares (DPPO + DPPV + DPPUO + DPIO)""}"
v0004,BIGINT,V0004,Total de Domicílios Coletivos (DCCM + DCSM),numeric,"{""V0004"": ""Total de Domicílios Coletivos (DCCM + DCSM)""}"
v0005,BIGINT,V0005,Média de moradores em Domicílios Particulares Ocupados (Total pessoas em Domicílios Particulares Ocupados / DPPO + DPIO),float64,"{""V0005"": ""Média de moradores em Domicílios Particulares Ocupados (Total pessoas em Domicílios Particulares Ocupados / DPPO + DPIO)""}"
v0006,BIGINT,V0006,Percentual de Domicílios Particulares Ocupados Imputados (Total DPO imputados / Total DPO),float64,"{""V0006"": ""Percentual de Domicílios Particulares Ocupados Imputados (Total DPO imputados / Total DPO)""}"
v0007,BIGINT,V0007,Total de Domicílios Particulares Ocupados (DPPO + DPIO),numeric,"{""V0007"": ""Total de Domicílios Particulares Ocupados (DPPO + DPIO)""}"
geometry,BLOB,,,,
geometry_geojson,JSON,,,,
geometry_bbox,VARCHAR,,,,
Pessoas responsáveis em domicílios particulares permanentes ocupados,BIGINT,,,,
Moradores em domicílios particulares permanentes ocupados,BIGINT,,,,
Variância do número de moradores em domicílios particulares permanentes     ocupados,DOUBLE,,,,
Valor do rendimento nominal médio mensal das pessoas responsáveis com rendimentos     por domicílios particulares permanentes ocupados,DOUBLE,,,,
Variância do rendimento nominal mensal das pessoas responsáveis com rendimentos     por domicílios particulares permanentes ocupados,DOUBLE,,,,
Pessoa responsável pelo domicílio,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é cônjuge ou companheiro(a) de sexo diferente,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é cônjuge ou companheiro(a) do mesmo sexo,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é filho(a) do responsável e do cônjuge,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é filho(a) somente do responsável,BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é enteado(a),BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é genro ou nora,BIGINT,,,,
"Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é pai, mãe, padrasto ou madrasta",BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é sogro(a),BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é neto(a),BIGINT,,,,
Relação de parentesco ou de convivência com a pessoa responsável pelo domicílio é bisneto(a),BIGINT,,,,
